Secondary Resources total by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
East of England,E07000200,Babergh,229,242,252,274,289,307,320,341,352,381,412,435,471,487,503,535,546,546,570,577
East of England,E07000201,Forest Heath,183,186,191,206,194,206,216,228,238,253,273,287,312,326,343,364,368,382,404,404
East of England,E07000202,Ipswich,325,345,358,385,406,430,448,483,508,549,595,635,697,734,765,820,834,834,874,885
East of England,E07000203,Mid Suffolk,234,248,262,284,301,320,332,357,372,405,445,471,513,536,555,594,605,609,636,644
East of England,E07000204,St Edmundsbury,266,289,297,323,340,364,379,407,423,461,503,535,585,613,637,678,688,687,717,725
East of England,E07000205,Suffolk Coastal,330,344,353,381,399,423,439,471,490,532,583,617,668,692,712,757,770,769,803,817
East of England,E07000206,Waveney,308,325,340,368,390,414,429,459,475,510,551,579,626,644,660,703,715,711,740,749
London,E09000007,Camden,623,648,659,730,751,816,805,856,901,927,970,1012,1099,1128,1138,1208,1229,1227,1223,1231
London,E09000001,City of London,19,20,23,26,27,29,28,29,30,32,35,36,39,39,38,36,32,32,34,36
London,E09000012,Hackney ,557,568,575,596,615,645,667,735,772,800,848,897,969,1002,1019,1072,1092,1100,1124,1126
London,E09000013,Hammersmith and Fulham ,490,510,517,566,578,622,612,655,693,722,774,807,885,923,933,968,966,942,939,951
London,E09000014,Haringey,714,725,756,767,758,797,810,882,920,968,1025,1059,1139,1187,1201,1261,1244,1242,1271,1282
London,E09000019,Islington,583,596,608,620,614,639,651,704,736,769,817,832,897,940,970,1033,1029,1040,1078,1093
London,E09000020,Kensington and Chelsea,449,469,476,532,553,592,590,631,674,683,714,741,795,819,809,834,837,819,817,820
London,E09000022,Lambeth ,730,739,759,776,770,803,819,894,933,966,1028,1060,1142,1194,1232,1303,1305,1298,1313,1312
London,E09000023,Lewisham ,696,712,729,739,731,764,779,838,868,905,965,1004,1082,1135,1173,1244,1251,1263,1273,1267
London,E09000025,Newham ,672,685,695,720,740,781,804,876,904,937,1006,1074,1173,1240,1280,1344,1364,1372,1407,1420
London,E09000028,Southwark,682,697,722,741,738,772,790,854,891,939,1008,1043,1125,1182,1223,1301,1311,1318,1331,1321
London,E09000030,Tower Hamlets,531,551,579,603,613,656,682,733,760,786,838,881,964,1017,1053,1118,1143,1132,1137,1137
London,E09000032,Wandsworth,702,731,733,806,823,867,857,917,969,1006,1079,1126,1218,1275,1294,1358,1381,1371,1390,1403
London,E09000033,Westminster,639,662,675,747,778,835,836,901,963,998,1048,1095,1200,1263,1286,1329,1287,1290,1346,1376
London,E09000002,Barking and Dagenham,429,456,466,501,532,556,562,606,625,662,717,757,830,879,915,983,1014,995,1040,1063
London,E09000003,Barnet,881,920,950,1033,1047,1100,1116,1190,1255,1319,1420,1477,1594,1717,1787,1895,1936,1943,1984,2018
London,E09000004,Bexley,625,649,667,711,740,760,767,825,852,900,967,997,1061,1106,1124,1194,1192,1189,1201,1208
